,stock,sector,ROE,EPS,beta,recom
0,ADM.L,Financial Services,0.48617,5.013,0.298255,
1,AAL.L,Basic Materials,0.29116,34.269,1.276148,
2,ANTO.L,Basic Materials,0.17412001,6.676,0.888888,2.8
3,AHT.L,Industrials,0.22349001,11.233,1.292979,
4,ABF.L,Consumer Defensive,0.051230002,17.575,1.102933,
5,AZN.L,Healthcare,0.25675,22.506,0.154237,
6,AUTO.L,Communication Services,0.47948003,0.373,0.288323,2.5
7,AVV.L,Technology,0.00695,3.754,0.534384,
8,AV..L,,,,,
9,BA..L,,,,,
10,BARC.L,Financial Services,0.09144,1.284,1.401238,2
11,BDEV.L,Consumer Cyclical,0.12827,4.734,1.584745,
12,BKG.L,Consumer Cyclical,0.1575,21.678,1.078029,
13,BHP.L,Basic Materials,0.15824,9.151,0.843007,
14,BP..L,,,,,
15,BATS.L,Consumer Defensive,0.09585,11.231,0.723905,
16,BLND.L,Real Estate,-0.16497,0.562,1.540404,
17,BT.A.L,,,,,
18,BNZL.L,Consumer Defensive,0.23475,30.291,0.444444,
19,BRBY.L,Consumer Cyclical,0.27058,5.8,1.231372,
20,CCL.L,Consumer Cyclical,-0.47143,0.144,2.307692,
21,CNA.L,Utilities,-0.27195,2.103,1.264234,
22,CCH.L,Consumer Defensive,0.15562001,16.846,1.10084,
23,CPG.L,Consumer Cyclical,0.07337,10.038,1.033067,2.4
24,CRH.L,Basic Materials,0.08071999,37.494,0.925717,
25,CRDA.L,Basic Materials,0.18688999,12.197,0.486995,2.5
26,DCC.L,Energy,0.11486,152.17,0.808666,2.1
27,DGE.L,Consumer Defensive,0.13414,4.891,0.432835,
28,EVR.L,Basic Materials,0.60253,6.704,0.823106,
29,EXPN.L,Industrials,0.29704002,5.903,0.259943,
30,FERG.L,Industrials,0.25656998,99.352,0.978405,
31,FLTR.L,Consumer Cyclical,-0.01165,35.621,0.733181,
32,FRES.L,Basic Materials,0.17897,3.858,0.266818,2.3
33,GSK.L,Healthcare,0.29041,6.508,0.398319,
34,GLEN.L,Basic Materials,0.04476,12.538,1.635307,
35,HLMA.L,Industrials,0.17643999,3.477,0.333894,
36,HL..L,,,,,
37,HIK.L,Healthcare,0.22174999,10.521,-0.088913,
38,HSX.L,Financial Services,-0.12928,9.358,0.735212,
39,HSBA.L,Financial Services,0.06683,2.403,0.675152,
40,IMB.L,Consumer Defensive,0.50742,17.526,0.633898,2.3
41,INF.L,Communication Services,-0.059809998,1.023,1.18305,
42,IHG.L,Consumer Cyclical,,10.011,0.980652,2.6
43,IAG.L,Industrials,,0.98,2.60199,
44,ITRK.L,Industrials,0.28522,16.938,0.483139,2.6
